,Temp:1e4.0 K,Temp:1e4.5 K,Temp:1e5.0 K,Temp:1e5.5 K,Temp:1e6.0 K
H Density Log /cm^3,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003
e Density Log /cm^3,0.0032111454545454545,0.0034705181818181817,0.003779224242424243,0.0037961999999999996,0.0037967909090909097
SiIV Probability,0.0033990909090909093,0.0719,0.015300000000000001,0.0008460000000000001,7.730000000000001e-08
SiIV 1393 Emis,2.27089696969697e-34,3.88920303030303e-31,6.232478787878789e-31,4.880899999999999e-32,4.284296969696969e-36
SiIV 1402 Emis,1.1472818181818182e-34,1.976290909090909e-31,3.1136606060606056e-31,2.426696969696969e-32,2.1293e-36
