,Temp:1e4.0 K,Temp:1e4.5 K,Temp:1e5.0 K,Temp:1e5.5 K,Temp:1e6.0 K
H Density Log /cm^3,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003
e Density Log /cm^3,0.0032111454545454545,0.0034705181818181817,0.003779224242424243,0.0037961999999999996,0.0037967909090909097
NV Probability,7.47e-07,2.47e-05,0.0367,0.0311,0.0012900000000000001
NV 1238 Emis,2.8066e-38,1.01e-34,1.3246e-30,1.5641999999999999e-30,5.865990909090908e-32
NV 1242 Emis,1.4778e-38,5.1037e-35,6.65249393939394e-31,7.836100000000001e-31,2.9375939393939397e-32
