,"Temp:1e4.0 K , hden: -2.5","Temp:1e4.0 K , hden: -3.0","Temp:1e4.0 K , hden: -3.5","Temp:1e4.0 K , hden: -4.0"
H Density Log /cm^3,0.0031623000000000003,0.001,0.00031623,0.0001
e Density Log /cm^3,0.003688851515151516,0.001186512121212121,0.000378080303030303,0.00011989060606060608
OVI Probability,0.00524,0.05200909090909091,0.24900000000000003,0.35700000000000004
OVI 1031+1037 Emis,4.783060606060606e-32,1.5022696969696968e-31,2.2736306060606056e-31,1.0282184848484847e-31
