,Temp:1e4.0 K,Temp:1e4.5 K,Temp:1e5.0 K,Temp:1e5.5 K,Temp:1e6.0 K
H Density Log /cm^3,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003
e Density Log /cm^3,0.0032111454545454545,0.0034705181818181817,0.003779224242424243,0.0037961999999999996,0.0037967909090909097
SiIII Probability,0.161,0.865,0.00755,9.02e-06,6.469090909090909e-11
SiIII 1206 Emis,1.7730515151515151e-32,4.4155636363636356e-30,4.766354545454544e-31,9.73680909090909e-34,7.778209090909092e-39
