,"Temp:1e4.0 K , hden: -2.5","Temp:1e4.5 K , hden: -2.5","Temp:1e5.0 K , hden: -2.5","Temp:1e5.5 K , hden: -2.5","Temp:1e6.0 K , hden: -2.5","Temp:1e7.0 K , hden: -2.5"
H Density Log /cm^3,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003
e Density Log /cm^3,5.496790909090909e-06,0.0034705181818181817,0.0037600393939393943,0.0037961969696969694,0.0037967060606060605,0.0037974969696969703
OVI Probability,0.0,2.0848484848484846e-09,1.6333333333333333e-09,0.24,0.00464,3.17e-07
OVI 1031+1037 Emis,0.0,3.2513636363636366e-38,3.2684848484848485e-37,7.86e-29,1.4075281818181818e-30,5.468712121212121e-35
