,Temp:1e4.0 K,Temp:1e4.5 K,Temp:1e5.0 K,Temp:1e5.5 K,Temp:1e6.0 K
H Density Log /cm^3,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003
e Density Log /cm^3,0.0032111454545454545,0.0034705181818181817,0.003779224242424243,0.0037962,0.0037967909090909093
CIII Probability,0.31,0.281,0.245,2.87e-05,8.849999999999998e-08
CIII 977 Emis,4.917242424242424e-32,2.4937242424242422e-30,4.187766666666666e-29,9.702296969696968e-33,3.3250999999999994e-35
