,"Temp:1e3.0 K , hden: -2.5","Temp:1e4.0 K , hden: -2.5","Temp:1e5.0 K , hden: -2.5","Temp:1e6.0 K , hden: -2.5"
H Density Log /cm^3,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003,0.0031623000000000003
e Density Log /cm^3,0.0035665,0.003688851515151516,0.003779224242424243,0.0037967909090909097
OVI Probability,0.00045599999999999997,0.00524,0.00295,0.00441
OVI 1031+1037 Emis,4.1614e-33,4.783060606060606e-32,6.202569696969697e-31,1.377158787878788e-30
